Equipment ID,Type,Site ID,Check-In Date,Check-Out Date,Engine Hours/Day,Idle Hours/Day,Fuel Usage (L/Day),Rental Days,Last Operator ID
EQX1001,Crane,S002,2025-04-25,2025-04-28,3.7,0.4,18.2,3,OP158
EQX1002,Grader,S012,2025-04-12,2025-05-13,4.7,10.4,37.2,31,OP115
EQX1003,Bulldozer,S006,2025-03-21,2025-04-04,3.7,7.2,30.1,14,OP125
EQX1004,Backhoe,S011,2025-02-10,2025-02-27,4.5,0.8,33.6,17,OP156
EQX1005,Loader,S011,2025-07-14,2025-07-18,4.6,3.2,40.1,4,OP111
EQX1006,Crane,S007,2025-05-06,2025-06-11,4.2,8.2,34.8,36,OP160
EQX1007,Excavator,S004,2025-07-25,2025-08-23,8.1,7.9,50.9,29,OP137
EQX1008,Backhoe,S012,2025-10-15,2025-10-20,6.1,12.0,31.2,5,OP158
EQX1009,Backhoe,S011,2025-03-20,2025-03-24,4.7,5.6,26.5,4,OP105
EQX1010,Excavator,S006,2025-05-17,2025-06-20,1.4,20.8,12.4,34,OP128
EQX1011,Bulldozer,S004,2025-11-24,2025-12-05,4.1,11.1,35.4,11,OP149
EQX1012,Forklift,S004,2025-06-07,2025-06-23,1.5,0.8,11.9,16,OP106
EQX1013,Bulldozer,S010,2025-03-26,2025-05-11,9.5,8.3,73.2,46,OP114
EQX1014,Compactor,S004,2025-09-22,2025-10-18,2.1,7.1,9.5,26,OP122
EQX1015,Excavator,NULL,2025-06-19,2025-06-25,5.4,8.7,45.7,6,OP143
EQX1016,Backhoe,S011,2025-04-08,2025-05-06,4.9,0.7,36.5,28,OP128
EQX1017,Crane,S004,2025-02-25,2025-03-19,3.1,3.0,26.8,22,OP109
EQX1018,Backhoe,NULL,2025-02-20,2025-04-19,0.5,21.0,3.2,58,OP154
EQX1019,Backhoe,S007,2025-03-26,2025-04-01,7.5,8.4,58.4,6,OP151
EQX1020,Backhoe,S009,2025-01-30,2025-02-04,1.8,18.8,12.4,5,NULL
EQX1021,Excavator,S011,2025-02-05,2025-02-16,2.8,3.0,20.1,11,OP126
EQX1022,Crane,S005,2025-09-25,2025-11-13,2.6,1.6,19.3,49,OP146
EQX1023,Backhoe,S010,2025-01-05,2025-01-13,5.8,1.6,35.2,8,OP105
EQX1024,Crane,S012,2025-08-13,2025-08-19,0.6,21.5,4.5,6,OP152
EQX1025,Bulldozer,S005,2025-10-11,2025-10-18,5.4,10.2,36.6,7,OP146
EQX1026,Loader,NULL,2025-05-22,2025-06-08,6.5,8.9,45.4,17,OP109
EQX1027,Compactor,S006,2025-03-18,2025-03-29,1.9,17.9,16.9,11,OP110
EQX1028,Excavator,S009,2025-12-08,2025-12-16,8.8,11.1,49.0,8,OP127
EQX1029,Bulldozer,S006,2025-01-13,2025-02-10,8.6,9.7,49.0,28,OP127
EQX1030,Crane,S008,2025-04-24,2025-05-23,5.0,0.3,26.8,29,OP153
EQX1031,Forklift,S007,2025-06-29,2025-07-06,4.2,1.4,37.2,7,OP154
EQX1032,Bulldozer,S012,2025-11-02,2025-11-14,7.2,4.6,51.1,12,OP128
EQX1033,Loader,S009,2025-09-24,2025-09-27,7.2,5.2,63.1,3,OP148
EQX1034,Forklift,S011,2025-06-03,2025-06-15,5.2,2.3,39.0,12,OP126
EQX1035,Compactor,S007,2025-11-12,2025-11-25,3.8,9.4,27.5,13,OP101
EQX1036,Forklift,S012,2025-09-19,2025-09-29,2.7,7.4,13.3,10,OP106
EQX1037,Grader,NULL,2025-03-17,2025-03-30,5.7,5.5,48.4,13,OP131
EQX1038,Grader,S011,2025-07-24,2025-08-20,6.5,1.3,41.7,27,OP158
EQX1039,Bulldozer,S002,2025-01-26,2025-02-22,6.3,6.7,37.3,27,OP152
EQX1040,Backhoe,S009,2025-08-07,2025-09-30,7.2,3.1,40.4,54,OP111
EQX1041,Loader,S008,2025-11-17,2025-12-15,4.0,3.8,27.7,28,NULL
EQX1042,Bulldozer,NULL,2025-04-20,2025-04-25,0.8,21.7,6.4,5,OP135
EQX1043,Excavator,S005,2025-01-04,2025-01-29,8.2,6.5,64.0,25,OP155
EQX1044,Grader,NULL,2025-09-06,2025-09-25,6.8,10.1,58.7,19,OP144
EQX1045,Excavator,S003,2025-02-12,2025-02-21,2.4,2.5,14.3,9,OP112
EQX1046,Compactor,S008,2025-05-10,2025-06-07,5.2,4.2,38.6,28,NULL
EQX1047,Excavator,S004,2025-01-11,2025-01-26,2.8,5.6,15.8,15,OP143
EQX1048,Forklift,S002,2025-03-25,2025-03-30,2.9,11.5,18.2,5,OP160
EQX1049,Grader,S005,2025-02-22,2025-02-26,6.8,6.8,31.9,4,OP139
EQX1050,Compactor,NULL,2025-06-24,2025-07-27,2.6,7.6,21.4,33,OP132
EQX1051,Bulldozer,S009,2025-05-19,2025-07-12,6.0,3.2,50.0,54,OP130
EQX1052,Crane,S011,2025-08-26,2025-09-02,3.5,5.9,21.3,7,OP102
EQX1053,Loader,S009,2025-05-22,2025-07-20,3.7,6.7,20.7,59,OP106
EQX1054,Backhoe,S004,2025-01-09,2025-02-05,4.1,5.7,28.2,27,OP116
EQX1055,Compactor,S005,2025-08-21,2025-09-14,3.2,6.4,25.4,24,OP147
EQX1056,Bulldozer,S009,2025-05-22,2025-06-10,8.8,4.3,51.6,19,OP107
EQX1057,Bulldozer,S003,2025-05-30,2025-07-01,6.4,6.9,42.3,32,OP149
EQX1058,Backhoe,S002,2025-09-02,2025-09-10,6.0,1.8,48.9,8,OP105
EQX1059,Loader,S010,2025-08-02,2025-09-05,4.7,3.6,33.6,34,OP134
EQX1060,Compactor,S002,2025-11-09,2025-11-16,5.8,1.0,32.4,7,OP114
EQX1061,Crane,S001,2025-11-01,2025-11-17,2.4,0.9,13.3,16,OP146
EQX1062,Loader,S009,2025-04-12,2025-06-02,8.4,0.9,44.1,51,OP110
EQX1063,Loader,S008,2025-05-28,2025-07-24,4.8,6.5,31.1,57,OP145
EQX1064,Excavator,NULL,2025-05-09,2025-06-19,7.9,11.4,71.1,41,OP144
EQX1065,Loader,S008,2025-08-29,2025-09-10,9.0,9.8,79.7,12,OP112
EQX1066,Backhoe,S006,2025-02-23,2025-03-17,4.0,9.8,27.9,22,OP132
EQX1067,Backhoe,S007,2025-03-01,2025-03-22,8.9,6.5,56.6,21,OP153
EQX1068,Grader,S001,2025-11-17,2025-12-08,2.8,10.6,18.7,21,OP136
EQX1069,Excavator,S001,2025-03-23,2025-04-05,3.6,1.4,31.5,13,OP106
EQX1070,Bulldozer,S007,2025-09-18,2025-09-28,4.7,4.6,40.6,10,OP131
EQX1071,Bulldozer,S009,2025-06-24,2025-07-14,5.0,7.0,45.0,20,OP101
EQX1072,Backhoe,S009,2025-06-26,2025-07-19,4.3,8.4,30.4,23,OP160
EQX1073,Grader,S007,2025-08-31,2025-09-22,6.8,1.8,60.1,22,OP143
EQX1074,Bulldozer,S008,2025-08-14,2025-08-25,4.0,11.6,19.3,11,NULL
EQX1075,Loader,S006,2025-11-29,2025-12-24,5.7,7.5,48.4,25,OP155
EQX1076,Backhoe,S005,2025-05-01,2025-05-12,2.6,9.1,19.9,11,OP148
EQX1077,Crane,NULL,2025-01-15,2025-01-25,2.8,2.9,17.8,10,OP119
EQX1078,Bulldozer,S004,2025-07-15,2025-08-17,4.0,3.0,22.6,33,OP138
EQX1079,Excavator,S002,2025-12-13,2025-12-28,8.9,11.5,67.7,15,OP123
EQX1080,Backhoe,S010,2025-02-24,2025-03-15,8.9,11.7,66.4,19,OP119
EQX1081,Loader,S005,2025-11-07,2025-11-10,6.2,7.6,45.2,3,OP115
EQX1082,Bulldozer,S001,2025-06-08,2025-06-21,3.9,3.9,24.8,13,OP147
EQX1083,Grader,S005,2025-09-29,2025-10-27,7.5,11.6,43.7,28,OP117
EQX1084,Forklift,S004,2025-03-14,2025-03-29,5.0,10.1,35.0,15,OP147
EQX1085,Crane,S006,2025-10-02,2025-10-17,2.3,7.7,14.2,15,OP144
EQX1086,Grader,S004,2025-06-17,2025-08-06,6.9,3.6,43.7,50,OP141
EQX1087,Bulldozer,S009,2025-03-01,2025-03-17,5.6,8.4,38.8,16,OP130
EQX1088,Bulldozer,S005,2025-11-12,2025-12-08,5.6,11.4,46.8,26,NULL
EQX1089,Crane,S004,2025-02-01,2025-02-22,1.3,16.7,11.5,21,OP155
EQX1090,Excavator,S009,2025-10-17,2025-11-01,7.7,9.3,62.0,15,OP114
EQX1091,Excavator,S003,2025-10-04,2025-10-11,0.5,21.3,3.0,7,OP156
EQX1092,Bulldozer,S002,2025-09-27,2025-10-13,5.5,5.4,30.2,16,OP150
EQX1093,Excavator,S001,2025-06-04,2025-08-03,5.4,8.2,36.2,60,NULL
EQX1094,Backhoe,S003,2025-11-08,2025-12-08,6.1,4.6,43.8,30,OP141
EQX1095,Loader,S002,2025-02-20,2025-03-16,8.1,10.4,52.1,24,OP142
EQX1096,Grader,S002,2025-07-24,2025-08-14,6.0,1.8,51.9,21,OP121
EQX1097,Crane,S012,2025-08-10,2025-08-14,3.8,6.7,22.7,4,OP109
EQX1098,Crane,S010,2025-01-27,2025-02-17,3.9,7.9,21.5,21,OP107
EQX1099,Crane,S010,2025-02-28,2025-03-29,5.2,9.8,37.8,29,OP128
EQX1100,Excavator,S012,2025-01-15,2025-01-27,1.1,22.0,6.9,12,OP159
EQX1101,Bulldozer,S007,2025-09-29,2025-10-13,5.6,9.3,39.5,14,OP111
EQX1102,Crane,S005,2025-01-26,2025-03-03,3.4,3.3,26.9,36,OP128
EQX1103,Crane,S008,2025-12-14,2025-12-22,1.2,7.2,5.4,8,OP120
EQX1104,Loader,S001,2025-05-29,2025-06-04,3.2,8.4,21.6,6,OP128
